id,price_day,f_property_type,f_neighbourhood,n_accommodates,n_bathrooms,n_minimum_nights,n_beds,n_review_scores_rating,n_number_of_reviews,n_bedrooms,d_instant_bookable,d_wifi,d_refrigerator,d_air_conditioning,d_baby,d_beach,d_stove,d_free_parking,d_office,d_coffee_maker,d_garden,d_gym
700797,175,rental unit,De Baarsjes - Oud-West,4,1.5,7,2,4.91,170,2,0,1,1,0,1,0,1,0,0,1,0,0
700993,90,rental unit,De Pijp - Rivierenbuurt,2,1,3,1,4.61,24,1,1,1,1,0,0,0,1,0,0,1,0,0
702120,136,rental unit,Westerpark,2,1,5,1,4.82,25,1,0,1,0,0,0,0,0,0,0,0,0,0
702894,240,rental unit,Bos en Lommer,4,1.5,5,4,4.87,85,2,0,1,1,0,0,0,1,0,0,1,0,0
703716,132,rental unit,De Baarsjes - Oud-West,4,1.5,2,4,4.13,9,2,0,1,1,0,0,0,1,0,0,1,0,0
705423,219,rental unit,Centrum-Oost,2,1,1,1,4.65,120,1,0,1,0,0,0,0,0,0,0,0,0,0
705509,110,rental unit,Zuid,2,1.5,3,1,4.53,258,1,0,1,0,0,0,0,0,0,0,0,0,0
713557,121,rental unit,De Baarsjes - Oud-West,2,1,3,1,5,5,1,0,1,1,0,0,0,1,0,0,1,0,0
713715,149,rental unit,Centrum-West,2,1,2,1,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0
714884,130,rental unit,Centrum-Oost,2,1.5,3,1,4.92,24,1,0,1,0,0,0,0,0,0,0,0,0,0
716107,120,rental unit,De Baarsjes - Oud-West,2,1,2,1,4.69,151,1,1,1,0,0,0,0,0,0,0,0,0,0
716781,110,rental unit,Zuid,2,1,6,1,4.8,11,1,0,1,0,0,0,0,0,0,0,0,0,0
719623,156,rental unit,Centrum-West,4,1,4,3,4.61,85,1,0,1,1,0,0,0,1,0,0,1,0,0
721897,149,rental unit,Westerpark,2,1,10,1,4.86,0,1,0,1,0,0,0,0,0,0,0,0,0,0
724346,108,rental unit,De Pijp - Rivierenbuurt,2,1.5,2,1,4.63,29,1,0,1,0,0,0,0,0,0,0,0,0,0
728144,214,loft,Centrum-Oost,4,1,3,4,4.89,119,2,0,1,1,0,0,0,1,0,0,1,0,0
728713,85,rental unit,Centrum-Oost,2,1,1,1,4.5,3,1,0,1,0,1,0,0,0,0,0,0,0,0
729260,150,rental unit,Centrum-West,2,1,2,1,4.68,109,1,0,1,1,0,0,0,0,0,1,1,0,0
730965,99,rental unit,Oostelijk Havengebied - Indische Buurt,2,1,2,1,4.62,28,1,0,1,0,0,0,0,0,0,0,0,0,0
733654,150,rental unit,Centrum-Oost,4,1.5,5,2,5,10,2,0,1,1,0,1,0,1,0,0,1,0,0
740995,111,rental unit,Centrum-Oost,3,1,6,2,4.62,149,2,0,1,1,0,0,0,1,0,0,1,0,0
742634,150,rental unit,Centrum-Oost,2,1,30,2,4.88,39,1,0,1,0,0,0,0,0,0,0,0,0,0
744158,300,serviced_apartment,Centrum-Oost,4,1.5,7,2,4.71,17,2,1,1,1,0,1,0,1,0,0,1,0,0
744386,190,serviced_apartment,Centrum-Oost,4,1.5,7,2,4.75,24,2,1,1,1,0,1,0,1,0,0,1,0,0
744520,300,serviced_apartment,Centrum-Oost,4,1.5,7,2,4.5,20,2,1,1,1,0,1,0,0,0,0,1,0,0
744574,190,serviced_apartment,Centrum-Oost,4,1.5,7,2,4.78,28,2,1,1,1,0,0,0,0,0,0,1,0,0
746067,136,rental unit,Centrum-West,2,1.5,2,1,4.71,80,1,0,1,0,0,0,0,0,0,0,0,0,0
746807,130,rental unit,De Pijp - Rivierenbuurt,4,1,4,1,4.68,22,2,0,1,0,0,0,0,0,0,0,0,0,0
754020,129,rental unit,De Pijp - Rivierenbuurt,4,1.5,30,2,4.85,70,2,0,1,1,0,0,0,1,0,0,1,0,0
754613,225,rental unit,Centrum-Oost,4,1,4,3,4.93,278,1,0,1,1,1,0,0,1,0,0,1,0,0
755982,89,rental unit,Centrum-West,2,1,3,1,4.41,18,1,0,1,0,0,0,0,0,0,0,0,0,0
758475,100,rental unit,De Baarsjes - Oud-West,4,1.5,6,1,4.74,39,1,0,1,1,1,0,0,0,0,0,1,0,0
758600,235,rental unit,De Baarsjes - Oud-West,4,1,2,2,4.72,99,2,0,1,1,0,0,0,1,0,0,1,0,0
759060,325,rental unit,Centrum-West,4,1,3,2,4.94,106,1,0,1,1,0,0,0,1,0,0,1,0,0
759299,225,rental unit,De Baarsjes - Oud-West,6,1,2,5,4.78,9,3,0,1,1,0,0,0,1,0,0,1,0,0
759402,180,rental unit,Centrum-West,2,2.5,6,2,4.9,42,2,0,1,1,0,0,0,1,0,0,1,0,0
760074,90,rental unit,Oostelijk Havengebied - Indische Buurt,2,1.5,4,0,4.91,11,1,0,1,0,0,0,0,0,0,0,0,0,0
768274,250,rental unit,Westerpark,2,2,3,0,4.79,63,1,1,1,1,0,0,0,0,0,0,1,0,0
770281,135,rental unit,Zuid,4,1,2,2,4.57,23,1,0,1,0,0,0,0,0,0,0,0,0,0
772511,130,rental unit,Centrum-West,2,1,2,1,4.95,20,1,0,1,1,0,0,0,1,0,0,1,0,0
776288,120,rental unit,Zuid,2,1.5,3,2,4.51,241,1,0,1,1,0,0,0,1,0,0,0,0,0
778820,110,rental unit,De Baarsjes - Oud-West,2,1,3,1,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0
779297,176,rental unit,De Pijp - Rivierenbuurt,3,1,3,3,4.33,12,2,1,1,0,0,0,0,0,0,0,0,0,0
780674,149,rental unit,Centrum-Oost,2,1,2,1,4.89,28,1,0,1,1,0,0,0,1,0,0,1,0,0
780873,165,rental unit,Watergraafsmeer,4,1.5,2,2,4.93,27,2,0,1,0,0,0,0,0,0,0,0,0,0
781253,118,rental unit,Centrum-West,3,1,3,1,4.23,47,1,0,1,0,0,0,0,0,0,0,0,0,0
782254,399,rental unit,Centrum-West,4,1,1,3,4.66,48,2,0,1,1,0,0,0,1,0,0,0,0,0
784277,163,rental unit,De Baarsjes - Oud-West,3,1,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
784644,118,rental unit,De Baarsjes - Oud-West,2,1,3,1,4.78,68,1,0,1,0,0,0,0,1,0,0,0,0,0
785432,200,rental unit,Centrum-Oost,4,1,2,3,4.77,804,2,1,1,1,1,0,0,1,0,0,1,0,0
787331,110,rental unit,Zuid,2,1,1,1,4.5,4,1,0,1,0,0,0,0,0,0,0,0,0,0
789630,125,rental unit,Bos en Lommer,4,1,3,2,4.63,67,1,0,1,0,0,0,0,0,0,0,0,0,1
793845,80,rental unit,Bos en Lommer,2,NA,1,1,4.89,57,1,0,1,0,0,0,0,0,0,0,0,0,0
798189,175,rental unit,Westerpark,4,1.5,3,2,4.76,22,2,0,1,0,0,0,0,0,0,0,0,0,0
798941,150,rental unit,De Pijp - Rivierenbuurt,2,1,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0
800723,150,rental unit,De Baarsjes - Oud-West,4,1,4,0,4.83,18,2,0,1,1,0,0,0,1,0,0,0,0,0
801544,160,rental unit,De Pijp - Rivierenbuurt,3,1,2,2,4.55,86,2,1,1,1,0,0,0,1,0,0,1,0,0
816940,85,rental unit,Zuid,2,1.5,5,1,4.73,61,1,0,1,1,0,0,0,1,0,0,1,0,0
818881,122,rental unit,Centrum-Oost,2,1.5,7,1,4.69,13,1,0,1,1,0,0,0,1,0,0,1,1,0
820692,85,rental unit,Centrum-West,2,1,2,1,4.7,30,1,0,1,1,0,0,0,1,0,0,0,0,0
823448,239,rental unit,De Baarsjes - Oud-West,4,1,3,2,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0
833641,60,rental unit,De Pijp - Rivierenbuurt,2,1,3,1,4.82,38,1,0,1,1,0,1,0,1,0,0,1,0,0
833975,150,rental unit,De Pijp - Rivierenbuurt,3,1,2,3,4.86,0,3,0,1,0,0,0,0,0,0,0,0,0,0
834156,200,loft,De Pijp - Rivierenbuurt,4,1,2,4,4.67,37,2,0,1,1,0,0,0,1,0,0,1,0,0
835550,115,rental unit,De Pijp - Rivierenbuurt,2,1.5,2,1,4.14,46,1,0,1,0,0,0,0,0,0,0,0,0,0
835627,180,rental unit,Centrum-Oost,4,2,4,3,5,15,3,0,1,1,0,0,0,1,0,0,1,0,0
840346,85,rental unit,De Pijp - Rivierenbuurt,2,1,13,1,4.9,21,1,0,1,0,0,0,0,0,0,0,0,0,0
840628,79,rental unit,De Baarsjes - Oud-West,2,1,4,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0
842774,306,rental unit,Centrum-Oost,4,1.5,3,2,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0
846458,300,loft,De Baarsjes - Oud-West,4,1,2,2,4.82,25,2,0,1,1,0,1,0,1,0,0,1,0,0
847093,150,rental unit,De Baarsjes - Oud-West,4,1,4,5,4.72,46,4,0,1,1,0,0,0,1,0,1,1,0,0
847730,165,rental unit,De Baarsjes - Oud-West,2,1,5,1,4.93,29,1,0,1,0,0,0,0,0,0,0,0,0,0
849993,190,rental unit,De Baarsjes - Oud-West,2,1,5,1,4.69,17,1,0,1,1,0,1,0,1,0,0,0,0,0
